Identificador,Producto,Categoria,Precio
49,Traje Hugo Boss 22,Ropa,9835.08
50,Mocasines Gucci 9485,Calzado,4085.34
51,Tijeras Fiskars,Papelería,19694.85
52,Sudadera Adidas 1167,Ropa,13848.35
53,Microondas Samsung,Hogar,2690.39
54,Ventilador Taurus 6292,Hogar,1406.66
55,Tijeras Fiskars 8768,Papelería,3745.35
56,Corrector Paper Mate 7391,Papelería,16518.65
57,Mocasines Gucci 959,Calzado,5042.94
58,Figura Funko Pop 5166,Juguetes,8453.35
59,Monitor Dell,Electrónica,2976.48
60,Pantalón Levi's,Ropa,13349.06
61,Smartwatch Garmin 5668,Electrónica,2930.91
62,Falda Bershka,Ropa,5757.15
63,Tacones Steve Madden,Calzado,9015.19
64,Tenis Converse,Calzado,16823.83
65,Falda Bershka 6873,Ropa,12408.52
66,Sandalias Crocs 9590,Calzado,10908.52
67,Chanclas Adidas,Calzado,18315.58
68,Cuaderno Oxford,Papelería,12022.37
69,Plancha Philips 5625,Hogar,15161.66
70,Tostadora Hamilton 245,Hogar,11148.37
71,Botines Dr Martens 2781,Calzado,11548.8
72,Refrigerador Mabe 7354,Hogar,172.6
73,Pelota Nerf,Juguetes,8685.93
74,Zapatos Clarks,Calzado,18463
75,Rompecabezas Ravensburger 9854,Juguetes,14417.21
76,Pantalón Levi's 7624,Ropa,5391.97
77,Botines Dr Martens 4879,Calzado,9608.43
78,Rompecabezas Ravensburger 5347,Juguetes,17530.77
79,Cuaderno Oxford 3584,Papelería,12357.97
80,Tenis Converse 2073,Calzado,4323.26
81,Licuadora Oster 758,Hogar,1437.46
82,Botas Timberland,Calzado,6838.9
83,Consola Xbox,Electrónica,15400.91
84,Tenis Converse 1766,Calzado,15834.98
85,Monitor Dell 5609,Electrónica,18505.62
86,Libreta 90 hojas Scribe,Papelería,16982.58
87,Chamarra North Face 7332,Ropa,7206.73
88,Jeans Wrangler,Ropa,4469.56
89,Rompecabezas Ravensburger 3202,Juguetes,18251.88
90,Cafetera Nespresso,Hogar,5746.37
91,Jeans Wrangler 5907,Ropa,19378.08
92,Marcadores Sharpie 8662,Papelería,9136.24
93,Chamarra North Face 3016,Ropa,13357.47
94,Carro Hot Wheels 2126,Juguetes,3822.16
95,Sudadera Adidas 3652,Ropa,11571.59
96,Set Playmobil,Juguetes,2164.82
97,Polo Lacoste 5381,Ropa,4761.54
98,Falda Bershka 4881,Ropa,11964.75
99,Tablet Apple 1067,Electrónica,18069.51
100,Microondas Samsung 1221,Hogar,3359.66
101,Audífonos Sony,Electrónica,6755.91
102,Chanclas Adidas 8368,Calzado,2289.46
103,Licuadora Oster 9890,Hogar,12101.31
104,Figura Funko Pop 6935,Juguetes,11717.49
105,Post-it 3M 6245,Papelería,5062.04
106,Batidora KitchenAid 7342,Hogar,4447.11
107,Botas Timberland 1132,Calzado,326.96
108,Tijeras Fiskars 4719,Papelería,16290.97
109,Smartwatch Garmin 9592,Electrónica,4838.16
110,Refrigerador Mabe 7875,Hogar,5161.63
111,Muñeca Barbie,Juguetes,17920.87
112,Teléfono Samsung 8120,Electrónica,6065.86
113,Bocina JBL,Electrónica,9837.35
114,Traje Hugo Boss 7623,Ropa,12315.25
115,Pluma Bic 6946,Papelería,15955.47
116,Lapicera Maped 3638,Papelería,9548.93
117,Batidora KitchenAid 3379,Hogar,16269.32
118,Audífonos Sony 3994,Electrónica,12686.69
119,Ventilador Taurus 2570,Hogar,15085.16
120,Chamarra North Face 1379,Ropa,13452
121,Refrigerador Mabe 5941,Hogar,10333.05
122,Set Playmobil 4724,Juguetes,2561.49
123,Plancha Philips 1192,Hogar,10250.88
124,Pluma Bic 3939,Papelería,9900.78
125,Audífonos Sony 674,Electrónica,16146.34
126,Corrector Paper Mate 1673,Papelería,7969.7
127,Resaltadores Stabilo 8516,Papelería,6011.66
128,Tablet Apple 1743,Electrónica,2182.11
129,Vestido Zara,Ropa,10447.67
130,Drone DJI Mini 4422,Juguetes,15284.9
131,Aspiradora Dyson 3764,Hogar,879.33
132,Rompecabezas Ravensburger 2791,Juguetes,18100.22
133,Zapatos Clarks 9264,Calzado,13116.54
134,Carro Hot Wheels 997,Juguetes,1153.86
135,Lego Star Wars 3071,Juguetes,10759.41
136,Consola Xbox 5951,Electrónica,5730.69
137,Drone DJI Mini 7920,Juguetes,17709.92
138,Camiseta marca Nike 3499,Ropa,16669.77
139,Rompecabezas Ravensburger 6741,Juguetes,4760.93
140,Drone DJI Mini 9772,Juguetes,16628.02
141,Rompecabezas Ravensburger 7685,Juguetes,3579.68
142,Carro Hot Wheels 5923,Juguetes,8557.27
143,Pluma Bic 3067,Papelería,8480.65
144,Tablet Apple 4436,Electrónica,7728.66
145,Sudadera Adidas 2779,Ropa,3981.11
146,Bocina JBL 9047,Electrónica,18981.12
147,Puzzle 3D CubicFun,Juguetes,3239.66
148,Refrigerador Mabe 4721,Hogar,11811.22
149,Rompecabezas Ravensburger 488,Juguetes,3947.1
150,Lego Star Wars 6857,Juguetes,19602.92
151,Televisor LG,Electrónica,389.68
152,Muñeca Barbie 6707,Juguetes,3392.05
153,Batidora KitchenAid 3524,Hogar,8697.94
154,Marcadores Sharpie 1975,Papelería,2294.9
155,Rompecabezas Ravensburger 4534,Juguetes,10002.58
156,Post-it 3M 6822,Papelería,15257.79
157,Sandalias Crocs 9718,Calzado,5069.5
158,Corrector Paper Mate 2700,Papelería,13303.61
159,Botines Dr Martens 1423,Calzado,1342.22
160,Aspiradora Dyson 9460,Hogar,10041.18
161,Vestido Zara 758,Ropa,12284.57
162,Laptop Lenovo 5115,Electrónica,3710.24
163,Botines Dr Martens 8183,Calzado,9705.9
164,Camiseta marca Nike 3058,Ropa,7762.26
165,Tacones Steve Madden 2753,Calzado,853.1
166,Drone DJI Mini 7449,Juguetes,2299.63
167,Refrigerador Mabe 9857,Hogar,9803.49
168,Smartwatch Garmin 9332,Electrónica,17032.57
169,Cuaderno Oxford 3207,Papelería,10491.67
170,Horno Whirlpool,Hogar,5112.55
171,Puzzle 3D CubicFun 676,Juguetes,1519.42
172,Carpeta Office Depot 3855,Papelería,14240.59
173,Ventilador Taurus 8612,Hogar,13657.76
174,Cámara Canon 5698,Electrónica,3404.29
175,Drone DJI Mini 4856,Juguetes,10376.26
176,Tenis Vans 8940,Calzado,19567.5
177,Refrigerador Mabe 9535,Hogar,5686.49
178,Pluma Bic 1364,Papelería,9039.56
179,Microondas Samsung 1388,Hogar,3966.39
180,Sandalias Crocs 7782,Calzado,5602.16
181,Carro Hot Wheels 2166,Juguetes,7658.15
182,Monitor Dell 8102,Electrónica,12241.9
183,Bocina JBL 9319,Electrónica,16447.76
184,Microondas Samsung 2331,Hogar,3828.49
185,Pantalón Levi's 2796,Ropa,14199.42
186,Tenis Vans 1336,Calzado,605.1
187,Libreta 90 hojas Scribe 4280,Papelería,19685.85
188,Drone DJI Mini 5769,Juguetes,8698.63
189,Chamarra North Face 5942,Ropa,11128.22
190,Monitor Dell 9811,Electrónica,14582.48
191,Lego Star Wars 4277,Juguetes,11634.39
192,Muñeca Barbie 3901,Juguetes,9471.3
193,Licuadora Oster 4550,Hogar,1040.86
194,Batidora KitchenAid 3104,Hogar,3865.28
195,Post-it 3M 3064,Papelería,5370.77
196,Drone DJI Mini 9336,Juguetes,6996.49
197,Cámara Canon 6594,Electrónica,2904.7
198,Botas Timberland 93,Calzado,5128.92
199,Carpeta Office Depot 7020,Papelería,13124.21
200,Refrigerador Mabe 7133,Hogar,6133.08
201,Aspiradora Dyson 5472,Hogar,10830.3
202,Sudadera Adidas 9651,Ropa,10242.13
203,Horno Whirlpool 3540,Hogar,17186.95
204,Refrigerador Mabe 451,Hogar,16142.56
205,Polo Lacoste 3037,Ropa,19043.13
206,Tenis Converse 9920,Calzado,1263.54
207,Tablet Apple 306,Electrónica,1652.52
208,Zapatos Clarks 4775,Calzado,11699.1
209,Marcadores Sharpie 2784,Papelería,13528.05
210,Monitor Dell 7720,Electrónica,19300.66
211,Figura Funko Pop 5790,Juguetes,1471.64
212,Cafetera Nespresso 7717,Hogar,6260.99
213,Pelota Nerf 5469,Juguetes,19464.37
214,Chamarra North Face 6200,Ropa,17844.41
215,Carro Hot Wheels 6268,Juguetes,10861.13
216,Polo Lacoste 3598,Ropa,8009.23
217,Refrigerador Mabe 3510,Hogar,18130.37
218,Horno Whirlpool 2330,Hogar,13905.24
219,Microondas Samsung 3079,Hogar,16899.49
220,Zapatos Clarks 2791,Calzado,6891.46
221,Chanclas Adidas 3448,Calzado,9822.36
222,Sudadera Adidas 226,Ropa,9185.44
223,Resaltadores Stabilo 8607,Papelería,6562.46
224,Drone DJI Mini 8543,Juguetes,10761.23
225,Sudadera Adidas 2323,Ropa,304.45
226,Set Playmobil 7974,Juguetes,10644.07
227,Ventilador Taurus 2621,Hogar,11657.55
228,Tostadora Hamilton 4672,Hogar,6160.57
229,Refrigerador Mabe 8562,Hogar,16268.79
230,Batidora KitchenAid 4271,Hogar,1033.26
231,Tostadora Hamilton 9851,Hogar,8083.54
232,Post-it 3M 1432,Papelería,1853.02
233,Pantalón Levi's 8763,Ropa,5420.82
234,Refrigerador Mabe 2935,Hogar,6758.19
235,Tacones Steve Madden 6190,Calzado,9066.11
236,Tren Thomas 2257,Juguetes,2888.53
237,Jeans Wrangler 2522,Ropa,17720.65
238,Microondas Samsung 7441,Hogar,12452.63
239,Sandalias Crocs 3168,Calzado,16407.93
240,Falda Bershka 3025,Ropa,653.45
241,Consola Xbox 6114,Electrónica,4342.79
242,Tijeras Fiskars 5241,Papelería,19604.15
243,Refrigerador Mabe 6730,Hogar,1048.85
244,Tacones Steve Madden 6472,Calzado,10195.46
245,Carro Hot Wheels 2607,Juguetes,9335.69
246,Aspiradora Dyson 2186,Hogar,11591.25
247,Camiseta marca Nike 4526,Ropa,6160.93
248,Cuaderno Oxford 4267,Papelería,7082.51
249,Corrector Paper Mate 4352,Papelería,19084.69
250,Botas Timberland 7064,Calzado,6551.61
251,Bocina JBL 6983,Electrónica,9637.88
252,Audífonos Sony 9907,Electrónica,14702.87
253,Muñeca Barbie 2871,Juguetes,14840.14
254,Tacones Steve Madden 1383,Calzado,6668.12
255,Carpeta Office Depot 7398,Papelería,83.5
256,Licuadora Oster 6007,Hogar,59.26
257,Consola Xbox 3674,Electrónica,6888.43
258,Tacones Steve Madden 100,Calzado,13384.09
259,Lego Star Wars 2507,Juguetes,5045.43
260,Licuadora Oster 5337,Hogar,4175.44
261,Zapatos Clarks 9041,Calzado,4841.76
262,Traje Hugo Boss 946,Ropa,6399.66
263,Traje Hugo Boss 7236,Ropa,13010.69
264,Tostadora Hamilton 71,Hogar,16253.45
265,Bocina JBL 3798,Electrónica,8045.36
266,Plancha Philips 9619,Hogar,6947.3
267,Cafetera Nespresso 1234,Hogar,4213.65
268,Cuaderno Oxford 6095,Papelería,6166.3
269,Ventilador Taurus 5416,Hogar,3147.86
270,Traje Hugo Boss 5224,Ropa,12692.37
271,Puzzle 3D CubicFun 3807,Juguetes,2036.48
272,Mocasines Gucci 803,Calzado,9315.72
273,Horno Whirlpool 4649,Hogar,11929.68
274,Cafetera Nespresso 4251,Hogar,12583.91
275,Tijeras Fiskars 2000,Papelería,7464.55
276,Puzzle 3D CubicFun 592,Juguetes,770.31
277,Marcadores Sharpie 5815,Papelería,4222.42
278,Cuaderno Oxford 3282,Papelería,2085.32
279,Tacones Steve Madden 1561,Calzado,13671.43
280,Plancha Philips 1081,Hogar,19619.65
281,Televisor LG 1929,Electrónica,2258.01
282,Sudadera Adidas 6146,Ropa,14290.6
283,Monitor Dell 4759,Electrónica,8855.22
284,Aspiradora Dyson 3178,Hogar,5452.77
285,Televisor LG 4729,Electrónica,628.98
286,Lapicera Maped 9273,Papelería,8631.94
287,Sudadera Adidas 1418,Ropa,17963.55
288,Televisor LG 8089,Electrónica,17881.53
289,Rompecabezas Ravensburger 8082,Juguetes,3501.55
290,Teléfono Samsung 2176,Electrónica,13619.05
291,Audífonos Sony 7434,Electrónica,9851.24
292,Audífonos Sony 5515,Electrónica,9551.29
293,Tijeras Fiskars 75,Papelería,12669.69
294,Tren Thomas 3767,Juguetes,13456.59
295,Lego Star Wars 6203,Juguetes,10804.12
296,Lego Star Wars 6454,Juguetes,6380.81
297,Botines Dr Martens 1306,Calzado,19146.21
298,Zapatos Clarks 565,Calzado,17975.42
299,Consola Xbox 8234,Electrónica,16267.64
300,Teléfono Samsung 417,Electrónica,9241.38
301,Sudadera Adidas 8739,Ropa,15685.53
302,Short Puma,Ropa,19851.15
303,Licuadora Oster 351,Hogar,3748.09
304,Ventilador Taurus 8831,Hogar,1140.37
305,Mocasines Gucci 7344,Calzado,7927.07
306,Carro Hot Wheels 3269,Juguetes,12222.42
307,Bocina JBL 2950,Electrónica,13055.5
308,Corrector Paper Mate 1337,Papelería,1179.15
309,Laptop Lenovo 9324,Electrónica,9214.49
310,Drone DJI Mini 403,Juguetes,15673.87
311,Zapatos Clarks 1562,Calzado,14695.74
312,Televisor LG 5892,Electrónica,13141.36
313,Falda Bershka 9370,Ropa,14085.78
314,Monitor Dell 6199,Electrónica,3638.67
315,Carpeta Office Depot 2800,Papelería,8453.79
316,Rompecabezas Ravensburger 3377,Juguetes,19814.89
317,Sudadera Adidas 2386,Ropa,12533.61
318,Lego Star Wars 4332,Juguetes,12119.92
319,Rompecabezas Ravensburger 2883,Juguetes,17549.31
320,Camiseta marca Nike 8970,Ropa,673.34
321,Tostadora Hamilton 3458,Hogar,17614.25
322,Tablet Apple 6194,Electrónica,10984.4
323,Falda Bershka 2294,Ropa,922.82
324,Lapicera Maped 2462,Papelería,4995.39
325,Tenis Converse 5770,Calzado,18634.12
326,Batidora KitchenAid 6898,Hogar,397.06
327,Chanclas Adidas 878,Calzado,1134.88
328,Televisor LG 1919,Electrónica,19152.98
329,Pelota Nerf 2319,Juguetes,1640.56
330,Corrector Paper Mate 827,Papelería,2696.6
331,Polo Lacoste 7298,Ropa,14433.04
332,Muñeca Barbie 6223,Juguetes,237.83
333,Carpeta Office Depot 9071,Papelería,11064.23
334,Tostadora Hamilton 7228,Hogar,19127.78
335,Sandalias Crocs 1572,Calzado,11712.82
336,Tenis Vans 7305,Calzado,2886.95
337,Tablet Apple 2213,Electrónica,7486.08
338,Carro Hot Wheels 7843,Juguetes,4023.04
339,Tenis Vans 5031,Calzado,483.98
340,Batidora KitchenAid 6256,Hogar,12936.44
341,Teléfono Samsung 3505,Electrónica,10199.34
342,Batidora KitchenAid 1113,Hogar,6735.41
343,Drone DJI Mini 2231,Juguetes,19956.48
344,Refrigerador Mabe 7727,Hogar,10943.41
345,Puzzle 3D CubicFun 2438,Juguetes,8126.12
346,Televisor LG 5065,Electrónica,19895.2
347,Tostadora Hamilton 3287,Hogar,18471.07
348,Tenis Converse 8558,Calzado,9015.98
349,Short Puma 3190,Ropa,18270.83
350,Batidora KitchenAid 9851,Hogar,7254.88
351,Muñeca Barbie 1046,Juguetes,17541.67
352,Bocina JBL 9978,Electrónica,3590.41
353,Refrigerador Mabe 45,Hogar,7552.16
354,Figura Funko Pop 5206,Juguetes,557.38
355,Licuadora Oster 3372,Hogar,19179.12
356,Sudadera Adidas 7162,Ropa,4870.88
357,Rompecabezas Ravensburger 6131,Juguetes,7246.43
358,Traje Hugo Boss 985,Ropa,13365.23
359,Plancha Philips 9700,Hogar,19112.9
360,Licuadora Oster 1284,Hogar,3294.48
361,Camiseta marca Nike 816,Ropa,7755.75
362,Cafetera Nespresso 8095,Hogar,8784.45
363,Polo Lacoste 578,Ropa,7067.9
364,Horno Whirlpool 1945,Hogar,13808.6
365,Tablet Apple 4221,Electrónica,5008.37
366,Figura Funko Pop 4776,Juguetes,3209.85
367,Zapatos Clarks 1095,Calzado,5248.29
368,Sudadera Adidas 9121,Ropa,498.89
369,Batidora KitchenAid 7226,Hogar,13650.08
370,Tacones Steve Madden 2864,Calzado,2892.39
371,Short Puma 7626,Ropa,7315.61
372,Consola Xbox 2691,Electrónica,16636.4
373,Ventilador Taurus 6677,Hogar,17910.13
374,Refrigerador Mabe 4060,Hogar,616.77
375,Carpeta Office Depot 4347,Papelería,14229.2
376,Laptop Lenovo 8035,Electrónica,18066.35
377,Cafetera Nespresso 854,Hogar,1052.85
378,Mocasines Gucci 7928,Calzado,12649.2
379,Botas Timberland 6774,Calzado,17866.58
380,Corrector Paper Mate 3610,Papelería,14878.03
381,Marcadores Sharpie 2987,Papelería,14114.49
382,Rompecabezas Ravensburger 1148,Juguetes,11094.68
383,Cafetera Nespresso 3045,Hogar,10168.27
384,Cafetera Nespresso 1526,Hogar,2267.72
385,Ventilador Taurus 3728,Hogar,5171.62
386,Sudadera Adidas 2157,Ropa,5507.1
387,Plancha Philips 1421,Hogar,16972.28
388,Monitor Dell 9004,Electrónica,5963.53
389,Botas Timberland 2212,Calzado,18625.94
390,Tren Thomas 8535,Juguetes,11229.73
391,Libreta 90 hojas Scribe 3514,Papelería,7638.82
392,Licuadora Oster 8369,Hogar,9778.54
393,Tijeras Fiskars 7756,Papelería,5708.22
394,Refrigerador Mabe 8895,Hogar,4609.05
395,Laptop Lenovo 6234,Electrónica,13133.39
396,Tijeras Fiskars 146,Papelería,16876.55
397,Plancha Philips 1566,Hogar,4116.66
398,Short Puma 9079,Ropa,9471.04
399,Cuaderno Oxford 7242,Papelería,8755.95
400,Chanclas Adidas 7578,Calzado,16393.24
401,Refrigerador Mabe 8770,Hogar,13960.92
402,Puzzle 3D CubicFun 9171,Juguetes,3575.36
403,Televisor LG 9015,Electrónica,11533.93
404,Tijeras Fiskars 3941,Papelería,13676.75
405,Tenis Converse 7866,Calzado,19389.58
406,Cafetera Nespresso 859,Hogar,6493.17
407,Consola Xbox 6504,Electrónica,5878.69
408,Chanclas Adidas 4511,Calzado,13905.96
409,Jeans Wrangler 6833,Ropa,17385.46
410,Tenis Converse 8647,Calzado,506.66
411,Lego Star Wars 2274,Juguetes,6401.81
412,Tostadora Hamilton 2322,Hogar,13378.64
413,Cámara Canon 4680,Electrónica,19584.25
414,Rompecabezas Ravensburger 5902,Juguetes,14680.16
415,Pelota Nerf 5554,Juguetes,12459.95
416,Lego Star Wars 6681,Juguetes,18829.06
417,Tostadora Hamilton 7247,Hogar,387.96
418,Vestido Zara 4462,Ropa,18012.36
419,Mocasines Gucci 7678,Calzado,11097.37
420,Libreta 90 hojas Scribe 66,Papelería,2145.58
421,Pelota Nerf 4524,Juguetes,6994.69
422,Monitor Dell 5527,Electrónica,47.28
423,Chamarra North Face 9976,Ropa,17234.95
424,Zapatos Clarks 5315,Calzado,4302.82
425,Marcadores Sharpie 6938,Papelería,2167.88
426,Bocina JBL 3001,Electrónica,18937.69
427,Sudadera Adidas 3480,Ropa,1365.87
428,Tenis Converse 2911,Calzado,2184.75
429,Lego Star Wars 5561,Juguetes,955.65
430,Cuaderno Oxford 4886,Papelería,3068.21
431,Plancha Philips 2466,Hogar,6202.18
432,Ventilador Taurus 5547,Hogar,350.64
433,Botas Timberland 4482,Calzado,15586.64
434,Tren Thomas 3475,Juguetes,17704.07
435,Rompecabezas Ravensburger 9056,Juguetes,9051.17
436,Monitor Dell 8299,Electrónica,2072.91
437,Jeans Wrangler 6159,Ropa,5701.56
438,Jeans Wrangler 2788,Ropa,3396.78
439,Laptop Lenovo 7255,Electrónica,6428.12
440,Batidora KitchenAid 4509,Hogar,18762.26
441,Libreta 90 hojas Scribe 5817,Papelería,8827.5
442,Teléfono Samsung 4161,Electrónica,11566.41
443,Botines Dr Martens 1241,Calzado,3488.96
444,Resaltadores Stabilo 3122,Papelería,17449.92
445,Set Playmobil 6744,Juguetes,13939.69
446,Laptop Lenovo 5942,Electrónica,3765.53
447,Tenis Vans 5687,Calzado,7063.98
448,Zapatos Clarks 7429,Calzado,16470.22
449,Vestido Zara 5249,Ropa,9205.47
450,Polo Lacoste 1120,Ropa,17780.29
451,Libreta 90 hojas Scribe 5911,Papelería,9525.63
452,Tijeras Fiskars 6752,Papelería,1269.79
453,Laptop Lenovo 3993,Electrónica,10043.88
454,Cuaderno Oxford 1304,Papelería,2558.3
455,Plancha Philips 8415,Hogar,14338.59
456,Botas Timberland 2357,Calzado,10479.17
457,Figura Funko Pop 1203,Juguetes,16492.07
458,Figura Funko Pop 3089,Juguetes,14267.89
459,Lego Star Wars 6596,Juguetes,9267.99
460,Pelota Nerf 1434,Juguetes,7481.89
461,Sandalias Crocs 6915,Calzado,14243.38
462,Cuaderno Oxford 5870,Papelería,13084.77
463,Pluma Bic 8974,Papelería,7235.76
464,Tren Thomas 9592,Juguetes,237.63
465,Botines Dr Martens 1114,Calzado,14071.15
466,Chanclas Adidas 9445,Calzado,11430.72
467,Post-it 3M 3585,Papelería,6091.71
468,Mocasines Gucci 5926,Calzado,56.92
469,Polo Lacoste 2465,Ropa,5249.97
470,Smartwatch Garmin 1953,Electrónica,15174.14
471,Pluma Bic 3996,Papelería,12741.73
472,Chanclas Adidas 1999,Calzado,6927.28
473,Cuaderno Oxford 1404,Papelería,11888.88
474,Televisor LG 8054,Electrónica,13911.65
475,Tijeras Fiskars 2127,Papelería,3264.36
476,Tijeras Fiskars 6753,Papelería,6218.94
477,Muñeca Barbie 6582,Juguetes,7481.72
478,Tostadora Hamilton 6418,Hogar,10903.45
479,Plancha Philips 3255,Hogar,18640.95
480,Tacones Steve Madden 6362,Calzado,12175.96
481,Drone DJI Mini 3306,Juguetes,14272.77
482,Laptop Lenovo 9535,Electrónica,18928.43
483,Muñeca Barbie 6982,Juguetes,15338.43
484,Mocasines Gucci 1107,Calzado,6509.87
485,Camiseta marca Nike 5945,Ropa,19017.9
486,Smartwatch Garmin 2146,Electrónica,6297.18
487,Vestido Zara 6050,Ropa,17863.18
488,Batidora KitchenAid 7873,Hogar,12580.2
489,Licuadora Oster 1114,Hogar,3184.57
490,Smartwatch Garmin 1378,Electrónica,8177.72
491,Microondas Samsung 9653,Hogar,18824.01
492,Tenis Vans 3208,Calzado,13528.07
493,Rompecabezas Ravensburger 8740,Juguetes,3060.46
494,Consola Xbox 2924,Electrónica,14045.67
495,Sandalias Crocs 779,Calzado,6821.81
496,Pluma Bic 5632,Papelería,9487.6
497,Short Puma 9597,Ropa,19910.28
498,Sudadera Adidas 3985,Ropa,19140.99
499,Muñeca Barbie 6491,Juguetes,16071.23
500,Botas Timberland 6026,Calzado,11369.36
501,Jeans Wrangler 1189,Ropa,3938.2
502,Botines Dr Martens 2795,Calzado,991.07
503,Tijeras Fiskars 6932,Papelería,1616.53
504,Polo Lacoste 6594,Ropa,12951.61
505,Aspiradora Dyson 4555,Hogar,9377.04
506,Rompecabezas Ravensburger 895,Juguetes,8834.98
507,Tostadora Hamilton 9512,Hogar,18458.81
508,Puzzle 3D CubicFun 9843,Juguetes,12436.84
509,Tablet Apple 7791,Electrónica,19062.93
510,Botines Dr Martens 9224,Calzado,17750.27
511,Tren Thomas 3345,Juguetes,9009.96
512,Carro Hot Wheels 1484,Juguetes,16258.62
513,Tenis Converse 807,Calzado,10617.41
514,Traje Hugo Boss 9814,Ropa,3857.08
515,Tenis Converse 1811,Calzado,2210.16
516,Tijeras Fiskars 6648,Papelería,3476.99
517,Pluma Bic 1841,Papelería,1664.41
518,Sudadera Adidas 869,Ropa,19279.95
519,Carro Hot Wheels 3289,Juguetes,10200.25
520,Libreta 90 hojas Scribe 4933,Papelería,4425.81
521,Traje Hugo Boss 3193,Ropa,6014.44
522,Rompecabezas Ravensburger 1425,Juguetes,14640.56
523,Televisor LG 5041,Electrónica,4761.8
524,Tostadora Hamilton 3804,Hogar,16969.09
525,Corrector Paper Mate 3490,Papelería,7229.84
526,Botines Dr Martens 8310,Calzado,12204.85
527,Tijeras Fiskars 3757,Papelería,2543.45
528,Audífonos Sony 8072,Electrónica,19579.72
529,Refrigerador Mabe 6352,Hogar,90.37
530,Figura Funko Pop 4014,Juguetes,10651.09
531,Tablet Apple 9646,Electrónica,3826.87
532,Traje Hugo Boss 84,Ropa,7054.72
533,Sandalias Crocs 6302,Calzado,16005.01
534,Traje Hugo Boss 9328,Ropa,18314.06
535,Cámara Canon 5017,Electrónica,5416.44
536,Refrigerador Mabe 1945,Hogar,2043.49
537,Refrigerador Mabe 9769,Hogar,3492.3
538,Mocasines Gucci 9943,Calzado,15549.6
539,Horno Whirlpool 8348,Hogar,13615.6
540,Camiseta marca Nike 8411,Ropa,15712.76
541,Chanclas Adidas 5606,Calzado,2791.88
542,Resaltadores Stabilo 3853,Papelería,5684.33
543,Falda Bershka 6102,Ropa,12891.62
544,Licuadora Oster 2390,Hogar,5928.63
545,Licuadora Oster 6225,Hogar,4877.85
546,Marcadores Sharpie 7534,Papelería,8893.25
547,Marcadores Sharpie 9366,Papelería,11931.24
548,Vestido Zara 2127,Ropa,4685.82
549,Lapicera Maped 3735,Papelería,7418.66
550,Camiseta marca Nike 6277,Ropa,4119.66
551,Chanclas Adidas 8563,Calzado,15485.96
552,Ventilador Taurus 8325,Hogar,9547.68
553,Carro Hot Wheels 125,Juguetes,11713.65
554,Tostadora Hamilton 3305,Hogar,4548.55
555,Laptop Lenovo 5841,Electrónica,1690.21
556,Televisor LG 8494,Electrónica,17673.09
557,Camiseta marca Nike 1325,Ropa,17075.82
558,Resaltadores Stabilo 7033,Papelería,1180.35
559,Tijeras Fiskars 7566,Papelería,4502.93
560,Consola Xbox 8770,Electrónica,13705.83
561,Pluma Bic 1228,Papelería,9764.57
562,Bocina JBL 61,Electrónica,7963.75
563,Lego Star Wars 8808,Juguetes,16310.77
